指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
H20927.INDX	CR基石全收益	中证财新锐联基石经济全收益指数	2016-12-23	0000-00-00	有	有	有
H20928.INDX	CR新动能全收益	中证财新锐联新动能全收益指数	2016-12-23	0000-00-00	有	有	有
H20930.INDX	港股综合(全)	中证港股通综合全收益指数	2017-01-16	0000-00-00	NA	NA	有
H20931.INDX	港股通50(全)	中证港股通50全收益指数	2017-01-16	0000-00-00	NA	NA	有
H20932.INDX	HKCN证券(全)	中证港股通内地证券公司主题全收益指数	2017-01-16	0000-00-00	NA	NA	有
H20933.INDX	港股综合(全)CNY	中证港股通综合人民币全收益指数	2017-01-16	0000-00-00	NA	NA	有
H20934.INDX	港股通50(全)CNY	中证港股通50人民币全收益指数	2017-01-16	0000-00-00	NA	NA	有
H20935.INDX	HKCN证券(全)CNY	中证港股通内地证券公司主题人民币全收益指数	2017-01-16	0000-00-00	NA	NA	有
H20936.INDX	国开成长全收益	中证国开成长50全收益指数	2017-01-19	0000-00-00	有	有	有
H20937.INDX	稳健成长全收益	中证中信稳健成长策略全收益指数	2017-01-18	0000-00-00	有	有	有
H20938.INDX	500成长估值全收益	中证500成长估值全收益指数	2018-12-04	0000-00-00	有	有	有
H20939.INDX	500质量全收益	中证500质量成长全收益指数	2018-11-21	0000-00-00	有	有	有
H20945.INDX	香港新股(全)	中证香港新股全收益指数	2017-03-17	0000-00-00	NA	NA	有
H20946.INDX	香港新股(全)CNY	中证香港新股人民币全收益指数	2017-03-17	0000-00-00	NA	NA	有
H20949.INDX	价值回报全收益	中证价值回报量化策略全收益指数	2017-02-24	0000-00-00	有	有	有
H20955.INDX	红利低波100全收益	中证红利低波动100全收益指数	2017-05-26	0000-00-00	有	有	有
H20956.INDX	绿色投资全收益	中证绿色投资股票全收益指数	2017-05-26	0000-00-00	有	有	有
H20957.INDX	HKC中国100(全)	中证港股通中国100全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20958.INDX	HKC中国100(全)CNY	中证港股通中国100人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20959.INDX	HKC海外50(全)	中证港股通海外50全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20960.INDX	HKC能源C(全)	中证港股通能源综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20961.INDX	HKC材料C(全)	中证港股通原材料综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20962.INDX	HKC工业C(全)	中证港股通工业综合全收益指数	2017-06-23	0000-00-00	NA	NA	NA
H20963.INDX	HKC可选C(全)	中证港股通可选消费综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20964.INDX	HKC消费C(全)	中证港股通主要消费综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20965.INDX	HKC医药C(全)	中证港股通医药卫生综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20966.INDX	HKC金融C(全)	中证港股通金融地产综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20967.INDX	HKC信息C(全)	中证港股通信息技术综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20968.INDX	HKC电信C(全)	中证港股通电信业务综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20969.INDX	HKC公用C(全)	中证港股通公用事业综合全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20970.INDX	HKC能源C(全)CNY	中证港股通能源综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20971.INDX	HKC材料C(全)CNY	中证港股通原材料综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20972.INDX	HKC工业C(全)CNY	中证港股通工业综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20973.INDX	HKC可选C(全)CNY	中证港股通可选消费综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20974.INDX	HKC消费C(全)CNY	中证港股通主要消费综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20975.INDX	HKC医药C(全)CNY	中证港股通医药卫生综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20976.INDX	HKC金融C(全)CNY	中证港股通金融地产综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20977.INDX	HKC信息C(全)CNY	中证港股通信息技术综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20978.INDX	HKC电信C(全)CNY	中证港股通电信业务综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20979.INDX	HKC公用C(全)CNY	中证港股通公用事业综合人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20980.INDX	HKC海外50(全)CNY	中证港股通海外50人民币全收益指数	2017-06-23	0000-00-00	NA	NA	有
H20981.INDX	东北指数全收益	中证东北发展主题全收益指数	2017-06-14	0000-00-00	有	有	有
H20982.INDX	扶贫指数全收益	中证扶贫发展主题全收益指数	2017-06-14	0000-00-00	有	有	有
H20983.INDX	MG200全收益	中证迈格中国200全收益指数	2017-06-15	0000-00-00	有	有	有
H20984.INDX	MG新经济全收益	中证迈格中国新经济全收益指数	2017-06-15	0000-00-00	有	有	有
H20985.INDX	500LBLV全收益	中证500低贝塔低波动全收益指数	2017-06-22	0000-00-00	有	有	有
H20986.INDX	金融科技全收益	中证金融科技主题全收益指数	2017-06-22	0000-00-00	有	有	有
H20987.INDX	安徽发展全收益	中证安徽发展全收益指数	2019-03-20	0000-00-00	有	有	有
H20990.INDX	港股通红利低波(全)	中证港股通红利低波动全收益指数	2017-06-28	0000-00-00	NA	NA	有
H20991.INDX	港股通红利低波全CNY	中证港股通红利低波动人民币全收益指数	2017-06-28	0000-00-00	NA	NA	有
H20992.INDX	沪港深红利低波(全)	中证沪港深红利低波动全收益指数	2017-06-28	0000-00-00	NA	有	有
H20993.INDX	沪港深红利低波全CNY	中证沪港深红利低波动人民币全收益指数	2017-06-28	0000-00-00	NA	有	有
H20997.INDX	新能源车全收益	中证新能源汽车产业全收益指数	2017-07-19	0000-00-00	有	有	有
H20998.INDX	HKC大湾区(全)	中证港股通粤港澳大湾区发展主题全收益指数	2017-07-19	0000-00-00	NA	NA	有
H20999.INDX	SHS大湾区(全)	中证沪港深粤港澳大湾区发展主题全收益指数	2017-07-19	0000-00-00	NA	有	有
H21000.INDX	大湾区全收益	中证粤港澳大湾区发展主题全收益指数	2017-07-19	0000-00-00	有	有	有
H21001.INDX	HKC大湾区(全)CNY	中证港股通粤港澳大湾区发展主题人民币全收益指数	2017-07-19	0000-00-00	NA	NA	NA
H21002.INDX	SHS大湾区(全)HKD	中证沪港深粤港澳大湾区发展主题港元全收益指数	2017-07-19	0000-00-00	NA	有	有
H21003.INDX	农业改革全收益	中证农业供给侧改革主题全收益指数	2017-07-21	0000-00-00	有	有	有
H21004.INDX	女性消费全收益	中证女性消费主题全收益指数	2017-07-21	0000-00-00	有	有	有
H21005.INDX	母婴消费全收益	中证母婴消费主题全收益指数	2017-07-21	0000-00-00	有	有	有
H21006.INDX	老年消费全收益	中证老年消费主题全收益指数	2017-07-21	0000-00-00	有	有	有
H21007.INDX	新生消费全收益	中证新生代消费主题全收益指数	2017-07-21	0000-00-00	有	有	有
H21008.INDX	汽车指数全收益	中证全指汽车全收益指数	2013-07-15	0000-00-00	有	有	有
H21009.INDX	建筑材料全收益	中证全指建筑材料全收益指数	2013-07-15	0000-00-00	有	有	有
H21011.INDX	医药创新全收益	中证医药知识型创新主题全收益指数	2017-08-31	0000-00-00	有	有	有
H21012.INDX	CS黄金全收益	中证黄金产业全收益指数	2017-10-17	0000-00-00	有	有	有
H21013.INDX	消费低波全收益	中证消费低波动全收益指数	2017-10-18	0000-00-00	有	有	有
H21014.INDX	成长低波全收益	中证成长低波动全收益指数	2017-10-18	0000-00-00	有	有	有
H21020.INDX	装配建筑全收益	中证装配式建筑主题全收益指数	2017-10-17	0000-00-00	有	有	有
H21021.INDX	家居家电全收益	中证家居家电主题全收益指数	2017-10-17	0000-00-00	有	有	有
H21022.INDX	大气治理全收益	中证大气治理主题全收益指数	2017-10-17	0000-00-00	有	有	有
H21023.INDX	北京50全收益	中证北京50全收益指数	2017-10-30	0000-00-00	有	有	有
H21024.INDX	HKC非银(全)	中证港股通非银行金融主题全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21025.INDX	HKC地产(全)	中证港股通地产全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21026.INDX	HKCTMT(全)	中证港股通TMT主题投资全收益指数	2017-11-06	0000-00-00	NA	NA	NA
H21027.INDX	HKC大消费(全)	中证港股通大消费主题全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21028.INDX	HKC非银(全)CNY	中证港股通非银行金融主题人民币全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21029.INDX	HKC地产(全)CNY	中证港股通地产人民币全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21030.INDX	HKCTMT(全)CNY	中证港股通TMT主题投资人民币全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21031.INDX	HKC大消费(全)CNY	中证港股通大消费主题人民币全收益指数	2017-11-06	0000-00-00	NA	NA	有
H21032.INDX	复兴100全收益	中证复兴发展100主题全收益指数	2017-11-06	0000-00-00	有	有	有
H21033.INDX	杭州湾区全收益	中证杭州湾区全收益指数	2017-11-08	0000-00-00	有	有	有
H21037.INDX	绿色领先全收益	沪深300绿色领先股票全收益指数	2018-01-04	0000-00-00	有	有	有
H21038.INDX	中证100AH(全)	中证100AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21039.INDX	银行AH(全)	中证银行AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21040.INDX	证券AH(全)	中证证券AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21041.INDX	证保AH(全)	中证证券保险AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21042.INDX	能源AH(全)	中证能源AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21043.INDX	央企AH(全)	中证中央企业AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21044.INDX	国企AH(全)	中证国有企业AH价格优选全收益指数	2017-12-06	0000-00-00	NA	有	有
H21045.INDX	中证100AH(全)HKD	中证100AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21046.INDX	银行AH(全)HKD	中证银行AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21047.INDX	证券AH(全)HKD	中证证券AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21048.INDX	证保AH(全)HKD	中证证券保险AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21049.INDX	能源AH(全)HKD	中证能源AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21050.INDX	央企AH(全)HKD	中证中央企业AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21051.INDX	国企AH(全)HKD	中证国有企业AH价格优选港元全收益指数	2017-12-06	0000-00-00	NA	有	有
H21052.INDX	国信价值全收益	中证国信价值全收益指数	2017-12-08	0000-00-00	有	有	有
H21053.INDX	高股息策略全收益	中证中信高股息策略全收益指数	2017-12-11	0000-00-00	有	有	有
H21054.INDX	财务稳健全收益	中证财务稳健全收益指数	2017-12-11	0000-00-00	有	有	有
H21055.INDX	稳健低波全收益	中证财务稳健低波动全收益指数	2017-12-11	0000-00-00	有	有	有
H21056.INDX	红利增长全收益	中证红利增长策略全收益指数	2017-12-11	0000-00-00	有	有	有
H21057.INDX	股权激励全收益	中证股权激励主题全收益指数	2018-01-04	0000-00-00	有	有	有
H21058.INDX	竞争优势全收益	中证竞争优势主题全收益指数	2018-01-04	0000-00-00	有	有	有
H21062.INDX	质量低波全收益	中证质量成长低波动全收益指数	2018-01-22	0000-00-00	有	有	有
H21063.INDX	创始经营全收益	中证创始人持续经营主题全收益指数	2018-01-22	0000-00-00	有	有	有
H21065.INDX	财通浙30全收益	中证财通浙股30全收益指数	2018-12-04	0000-00-00	有	有	有
H21066.INDX	军工龙头全收益	中证军工龙头全收益指数	2018-02-05	0000-00-00	有	有	有
H21067.INDX	绩优策略全收益	中证申万绩优策略全收益指数	2018-02-14	0000-00-00	有	有	有
H21068.INDX	消费龙头全收益	中证消费龙头全收益指数	2018-11-21	0000-00-00	有	有	有
H21069.INDX	中金300全收益	中证中金优选300全收益指数	2018-02-14	0000-00-00	有	有	有
H21070.INDX	中金100全收益	中证中金优选100全收益指数	2018-02-14	0000-00-00	有	有	有
H21071.INDX	人工智能全收益	中证人工智能产业全收益指数	2018-11-21	0000-00-00	有	有	有
H21072.INDX	全球中国互联网(全)HKD	中证全球中国互联网港元全收益指数	2018-03-26	0000-00-00	有	有	有
H21079.INDX	5G通信全收益	中证5G通信主题全收益指数	2019-04-25	0000-00-00	有	有	有
H21081.INDX	中证半导全收益	中证半导体产业全收益指数	2019-03-20	0000-00-00	有	有	有
H21083.INDX	全球电子游戏(全)	中证全球电子游戏全收益指数	2018-05-07	0000-00-00	有	NA	有
H21084.INDX	全球电子游戏(全)HKD	中证全球电子游戏港元全收益指数	2018-05-07	0000-00-00	有	NA	有
H21085.INDX	全球电子游戏(全)USD	中证全球电子游戏美元全收益指数	2018-05-07	0000-00-00	有	NA	有
H21086.INDX	MG新经济(全)AUD	中证迈格中国新经济澳元全收益指数	2018-05-30	0000-00-00	有	有	有
H21087.INDX	科技龙头全收益	中证科技龙头全收益指数	2019-03-20	0000-00-00	有	有	有
H21090.INDX	海外中国能源(全)	中证海外中国内地企业互联互通能源全收益指数	2018-08-14	0000-00-00	有	NA	有
H21091.INDX	海外中国材料(全)	中证海外中国内地企业互联互通原材料全收益指数	2018-08-14	0000-00-00	有	NA	有
H21092.INDX	海外中国工业(全)	中证海外中国内地企业互联互通工业全收益指数	2018-08-14	0000-00-00	有	NA	有
H21093.INDX	海外中国可选(全)	中证海外中国内地企业互联互通可选消费全收益指数	2018-08-14	0000-00-00	有	NA	有
H21094.INDX	海外中国消费(全)	中证海外中国内地企业互联互通主要消费全收益指数	2018-08-14	0000-00-00	有	NA	有
H21095.INDX	海外中国医药(全)	中证海外中国内地企业互联互通医药卫生全收益指数	2018-08-14	0000-00-00	有	NA	有
H21096.INDX	海外中国金融(全)	中证海外中国内地企业互联互通金融地产全收益指数	2018-08-14	0000-00-00	有	NA	有
H21097.INDX	海外中国信息(全)	中证海外中国内地企业互联互通信息技术全收益指数	2018-08-14	0000-00-00	有	NA	有
H21098.INDX	海外中国电信(全)	中证海外中国内地企业互联互通电信业务全收益指数	2018-08-14	0000-00-00	有	NA	NA
H21099.INDX	海外中国公用(全)	中证海外中国内地企业互联互通公用事业全收益指数	2018-08-14	0000-00-00	有	NA	有
H21100.INDX	海外中国能源(全)HKD	中证海外中国内地企业互联互通能源港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21101.INDX	海外中国材料(全)HKD	中证海外中国内地企业互联互通原材料港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21102.INDX	海外中国工业(全)HKD	中证海外中国内地企业互联互通工业港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21103.INDX	海外中国可选(全)HKD	中证海外中国内地企业互联互通可选消费港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21104.INDX	海外中国消费(全)HKD	中证海外中国内地企业互联互通主要消费港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21105.INDX	海外中国医药(全)HKD	中证海外中国内地企业互联互通医药卫生港元全收益指数	2018-08-14	0000-00-00	有	NA	NA
H21106.INDX	海外中国金融(全)HKD	中证海外中国内地企业互联互通金融地产港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21107.INDX	海外中国信息(全)HKD	中证海外中国内地企业互联互通信息技术港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21108.INDX	海外中国电信(全)HKD	中证海外中国内地企业互联互通电信业务港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21109.INDX	海外中国公用(全)HKD	中证海外中国内地企业互联互通公用事业港元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21110.INDX	海外中国能源(全)USD	中证海外中国内地企业互联互通能源美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21111.INDX	海外中国材料(全)USD	中证海外中国内地企业互联互通原材料美元全收益指数	2018-08-14	0000-00-00	有	NA	NA
H21112.INDX	海外中国工业(全)USD	中证海外中国内地企业互联互通工业美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21113.INDX	海外中国可选(全)USD	中证海外中国内地企业互联互通可选消费美元全收益指数	2018-08-14	0000-00-00	有	NA	NA
H21114.INDX	海外中国消费(全)USD	中证海外中国内地企业互联互通主要消费美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21115.INDX	海外中国医药(全)USD	中证海外中国内地企业互联互通医药卫生美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21116.INDX	海外中国金融(全)USD	中证海外中国内地企业互联互通金融地产美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21117.INDX	海外中国信息(全)USD	中证海外中国内地企业互联互通信息技术美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21118.INDX	海外中国电信(全)USD	中证海外中国内地企业互联互通电信业务美元全收益指数	2018-08-14	0000-00-00	有	NA	有
H21119.INDX	海外中国公用(全)USD	中证海外中国内地企业互联互通公用事业美元全收益指数	2018-08-14	0000-00-00	有	NA	NA
H21120.INDX	中国互联网1040(全)	中证海外中国互联网1040全收益指数	2018-09-28	0000-00-00	有	NA	有
H21121.INDX	中国互联网1040(全)USD	中证海外中国互联网1040美元全收益指数	2018-09-28	0000-00-00	有	NA	有
H21122.INDX	中国互联网1040(全)EUR	中证海外中国互联网1040欧元全收益指数	2018-09-28	0000-00-00	有	NA	有
H21123.INDX	蓝天环境改善(全)	中证中国蓝天环境改善主题全收益指数	2018-11-21	2020-11-30	NA	NA	NA
H21124.INDX	蓝天环境改善(全)HKD	中证中国蓝天环境改善主题港元全收益指数	2018-11-21	2020-11-30	NA	NA	NA
H21125.INDX	蓝天环境改善(全)USD	中证中国蓝天环境改善主题美元全收益指数	2018-11-21	2020-11-30	NA	NA	NA
H21126.INDX	蓝天环境改善(全)EUR	中证中国蓝天环境改善主题欧元全收益指数	2018-11-21	2020-11-30	NA	NA	NA
H21127.INDX	浙江新动能(全)	中证浙江新动能全收益指数	2019-01-22	0000-00-00	有	有	有
H21128.INDX	浙江新动能(全)USD	中证浙江新动能美元全收益指数	2019-01-22	0000-00-00	有	有	有
H21129.INDX	盈利估值全收益	中证盈利估值策略全收益指数	2018-12-04	0000-00-00	有	有	有
H21130.INDX	红利成长低波全收益	中证红利成长低波动全收益指数	2018-12-04	0000-00-00	有	有	有
H21133.INDX	经济蓝筹全收益	中证华夏经济蓝筹股票全收益指数	2019-03-20	0000-00-00	有	有	有
H21134.INDX	AH经济蓝筹(全)	中证华夏AH经济蓝筹股票全收益指数	2019-03-20	0000-00-00	NA	有	有
H21135.INDX	AH经济蓝筹(全)HKD	中证华夏AH经济蓝筹股票港元全收益指数	2019-03-20	0000-00-00	NA	有	有
H21136.INDX	深圳科技(全)	中证深圳科技创新主题全收益指数	2019-01-22	0000-00-00	NA	有	有
H21137.INDX	深圳科技(全)HKD	中证深圳科技创新主题港元全收益指数	2019-01-22	0000-00-00	NA	有	有
H21138.INDX	高息低波全收益	中证高股息低波动全收益指数	2018-12-04	0000-00-00	有	有	有
H21139.INDX	CS消费50全收益	中证消费50全收益指数	2019-03-20	0000-00-00	有	有	有
H21140.INDX	医药50全收益	中证医药50全收益指数	2019-03-20	0000-00-00	有	有	有
H21141.INDX	CS长三角全收益	中证长三角一体化发展主题全收益指数	2019-03-20	0000-00-00	有	有	有
H21142.INDX	东证竞争全收益	中证东方红竞争力全收益指数	2019-03-20	0000-00-00	有	有	有
H21143.INDX	CS红利配置全收益	中证红利配置策略全收益指数	2019-04-22	0000-00-00	NA	NA	有
H21144.INDX	通信技术全收益	中证通信技术主题全收益指数	2019-05-30	0000-00-00	有	有	有
H21148.INDX	ESG80全收益	中证ECPIESG80全收益指数	2019-02-27	0000-00-00	有	有	有
H21149.INDX	环境质量全收益	中证环境治理质量策略全收益指数	2019-01-31	0000-00-00	有	有	有
H21150.INDX	绿色质量全收益	中证绿色产业质量策略全收益指数	2019-01-31	0000-00-00	有	有	有
H21151.INDX	光伏产业全收益	中证光伏产业全收益指数	2019-04-22	0000-00-00	有	有	有
H21152.INDX	CS创新药全收益	中证创新药产业全收益指数	2019-04-22	0000-00-00	有	有	有
H21155.INDX	300质量全收益	沪深300质量成长全收益指数	2019-04-22	0000-00-00	有	有	有
H21156.INDX	800质量全收益	中证800质量成长全收益指数	2019-04-22	0000-00-00	有	有	有
H21157.INDX	SHS红利成长LV(全)	中证沪港深红利成长低波动全收益指数	2019-04-25	0000-00-00	NA	有	有
H21158.INDX	SHS红利成长LV(全)HKD	中证沪港深红利成长低波动港元全收益指数	2019-04-25	0000-00-00	NA	有	有
H21159.INDX	创新100全收益	中证研发创新100全收益指数	2019-05-16	0000-00-00	有	有	有
H21160.INDX	通信设备全收益	中证全指通信设备全收益指数	2013-07-15	0000-00-00	有	有	有
H21163.INDX	浙江100全收益	中证浙江100全收益指数	2019-04-25	0000-00-00	有	有	有
H21165.INDX	新兴科技100全收益	中证新兴科技100策略全收益指数	2019-04-25	0000-00-00	有	有	有
H21166.INDX	医药健康100全收益	中证嘉实医药健康质量成长100策略全收益指数	2019-04-25	0000-00-00	有	有	有
H21167.INDX	先进制造100全收益	中证嘉实先进制造价值成长100策略全收益指数	2019-04-25	0000-00-00	有	有	有
H21168.INDX	ESG领先全收益	中证中财沪深100ESG领先全收益指数	2019-06-27	0000-00-00	有	有	有
H21169.INDX	证券30全收益	中证嘉实证券行业30全收益指数	2019-05-30	0000-00-00	有	有	有
H21170.INDX	民企龙头全收益	中证嘉实民企龙头全收益指数	2019-04-25	0000-00-00	有	有	有
H21171.INDX	长三角指全收益	中证摩根长三角策略全收益指数	2019-06-10	2020-06-15	NA	NA	NA
H21176.INDX	台州综指全收益	中证台州综合全收益指数	2019-05-30	0000-00-00	NA	有	有
H21177.INDX	全球台州综指(全)	中证全球台州综合全收益指数	2019-05-30	0000-00-00	有	有	有
H21178.INDX	全球台州综指(全)USD	中证全球台州综合美元全收益指数	2019-05-30	0000-00-00	有	有	有
H21179.INDX	台州制造30全收益	中证台州制造30全收益指数	2019-05-30	0000-00-00	NA	有	有
H21186.INDX	中证科技全收益	中证科技50策略全收益指数	2019-05-30	0000-00-00	有	有	有
H21187.INDX	科技100全收益	中证科技100全收益指数	2019-05-30	0000-00-00	有	有	有
H21359.INDX	沪深300(全)AUD(CNH)	沪深300澳元全收益指数(CNH)	2019-08-30	0000-00-00	有	有	有
H30001.XSHG	环渤海	中证环渤海龙头企业指数	2012-09-27	0000-00-00	NA	有	有
H30002.XSHG	长三角	中证长三角龙头企业指数	2012-09-27	0000-00-00	NA	有	有
H30003.XSHG	泛珠三角	中证泛珠三角龙头企业指数	2012-09-27	0000-00-00	NA	有	有
H30004.XSHG	中部崛起	中证中部崛起龙头企业指数	2012-09-27	0000-00-00	NA	有	有
H30005.XSHG	西部开发	中证西部大开发龙头企业指数	2012-09-27	0000-00-00	NA	有	有
H30006.XSHG	东北振兴	中证东北振兴龙头企业指数	2012-09-27	0000-00-00	NA	有	有
H30007.XSHG	芯片产业	中证芯片产业指数	2012-12-20	0000-00-00	NA	有	有
H30008.XSHG	商品LCFI	中证商品期货活跃成份指数	2012-11-27	0000-00-00	NA	NA	NA
H30009.XSHG	商品CFI	中证商品期货成份指数	2012-11-27	0000-00-00	NA	NA	NA
H30010.XSHG	800能源	中证800能源指数	2012-12-21	0000-00-00	NA	有	有
H30011.XSHG	800材料	中证800原材料指数	2012-12-21	0000-00-00	NA	有	有
H30012.XSHG	800资本	中证800资本品指数	2012-12-21	0000-00-00	NA	有	有
H30013.XSHG	800商业	中证800商业服务与商业用品指数	2012-12-21	0000-00-00	NA	有	有
H30014.XSHG	800运输	中证800运输指数	2012-12-21	0000-00-00	NA	有	有
H30015.XSHG	800汽车	中证800汽车与零部件指数	2012-12-21	0000-00-00	NA	有	有
H30016.XSHG	800耐用	中证800耐用消费品与服装指数	2012-12-21	0000-00-00	NA	有	有
H30017.XSHG	800服务	中证800消费者服务指数	2012-12-21	0000-00-00	NA	有	有
H30018.XSHG	800媒体	中证800媒体指数	2012-12-21	0000-00-00	NA	有	有
H30019.XSHG	800零售	中证800零售业指数	2012-12-21	0000-00-00	NA	有	有
H30020.XSHG	800食零	中证800食品与零售指数	2012-12-21	0000-00-00	NA	有	有
H30021.XSHG	800食品	中证800食品饮料指数	2012-12-21	0000-00-00	有	有	有
H30022.XSHG	800银行	中证800银行指数	2012-12-21	0000-00-00	NA	有	有
H30023.XSHG	800综金	中证800综合金融指数	2012-12-21	0000-00-00	NA	有	有
H30024.XSHG	800保险	中证800保险指数	2012-12-21	0000-00-00	NA	有	有
H30026.XSHG	800软件	中证800软件与服务指数	2012-12-21	0000-00-00	NA	有	有
H30027.XSHG	800硬件	中证800硬件与设备指数	2012-12-21	0000-00-00	NA	有	有
H30028.XSHG	800半导	中证800半导体产品与设备指数	2012-12-21	0000-00-00	NA	有	有
H30029.XSHG	800通信	中证800通信设备指数	2012-12-21	0000-00-00	NA	有	有
H30030.XSHG	800公用	中证800公用事业指数	2012-12-21	0000-00-00	NA	有	有
H30031.XSHG	800有色	中证800有色金属指数	2012-12-21	0000-00-00	有	有	有
H30032.XSHG	800机械	中证800机械指数	2012-12-21	0000-00-00	NA	有	有
H30034.XSHG	300有色	沪深300有色金属指数	2012-12-21	0000-00-00	NA	有	有
H30035.XSHG	300非银	沪深300非银行金融指数	2012-12-21	0000-00-00	有	有	有
H30036.XSHG	AMAC餐饮	AMAC餐饮住宿指数	2013-01-21	0000-00-00	有	有	有
H30037.XSHG	AMAC商务	AMAC租赁商务指数	2013-01-21	0000-00-00	有	有	有
H30038.XSHG	AMAC科技	AMAC科研技术指数	2013-01-21	0000-00-00	有	有	有
H30039.XSHG	AMAC公共	AMAC水利环境指数	2013-01-21	0000-00-00	有	有	有
H30040.XSHG	AMAC社会	AMAC居民服务指数	2013-01-21	0000-00-00	有	有	有
H30041.XSHG	AMAC农副	AMAC食品加工指数	2013-01-21	0000-00-00	有	有	有
H30042.XSHG	AMAC食品	AMAC食品制造指数	2013-01-21	0000-00-00	有	有	有
H30043.XSHG	AMAC饮料	AMAC饮料制造指数	2013-01-21	0000-00-00	有	有	有
H30044.XSHG	AMAC纺织	AMAC纺织指数	2013-01-21	0000-00-00	有	有	有
H30045.XSHG	AMAC服装	AMAC纺织服装指数	2013-01-21	0000-00-00	有	有	有
H30046.XSHG	AMAC皮革	AMAC皮革指数	2013-01-21	0000-00-00	有	有	有
H30047.XSHG	AMAC木材	AMAC木材指数	2013-01-21	0000-00-00	有	有	有
H30048.XSHG	AMAC家具	AMAC家具指数	2013-01-21	0000-00-00	有	有	有
H30049.XSHG	AMAC造纸	AMAC造纸指数	2013-01-21	0000-00-00	有	有	有
H30050.XSHG	AMAC印刷	AMAC印刷指数	2013-01-21	0000-00-00	有	有	有
H30051.XSHG	AMAC文教	AMAC文教用品指数	2013-01-21	0000-00-00	有	有	有
H30052.XSHG	AMAC石化	AMAC石化指数	2013-01-21	0000-00-00	有	有	有
H30053.XSHG	AMAC化学	AMAC化学制品指数	2013-01-21	0000-00-00	有	有	有
H30054.XSHG	AMAC医药	AMAC医药制造指数	2013-01-21	0000-00-00	有	有	有
H30055.XSHG	AMAC化纤	AMAC化纤指数	2013-01-21	0000-00-00	有	有	有
H30056.XSHG	AMAC橡胶	AMAC橡胶塑料指数	2013-01-21	0000-00-00	有	有	有
